#x_m,y_m,w_tr_left_m,w_tr_right_m
9.268601080036413,3.622674729932925,0.3,0.3
9.268601080036413,3.622674729932925,0.3,0.3
9.26859387186932,3.627674724737155,0.3,0.3
9.26859387186932,3.627674724737155,0.3,0.3
9.268586663702228,3.632674719541385,0.3,0.3
9.268577031937207,3.6376747102642866,0.3,0.3
9.268577031937207,3.6376747102642866,0.3,0.3
9.268567400172186,3.6426747009871883,0.3,0.3
9.2685553448115,3.647674686453995,0.3,0.3
9.2685553448115,3.647674686453995,0.3,0.3
9.268543289450813,3.6526746719208014,0.3,0.3
9.268543289450813,3.6526746719208014,0.3,0.3
9.268528810497292,3.6576746509567477,0.3,0.3
9.268528810497292,3.6576746509567477,0.3,0.3
9.268514331543772,3.662674629992694,0.3,0.3
9.26849742900082,3.6676746014230166,0.3,0.3
9.26849742900082,3.6676746014230166,0.3,0.3
9.26848052645787,3.672674572853339,0.3,0.3
9.26848052645787,3.672674572853339,0.3,0.3
9.268449144961398,3.682674523319608,0.3,0.3
9.268449144961398,3.682674523319608,0.3,0.3
9.268434666007877,3.6876745023555544,0.3,0.3
9.268434666007877,3.6876745023555544,0.3,0.3
9.268417763464926,3.692674473785877,0.3,0.3
9.268417763464926,3.692674473785877,0.3,0.3
9.268400860921975,3.6976744452161996,0.3,0.3
9.268400860921975,3.6976744452161996,0.3,0.3
9.268381534793564,3.702674407866136,0.3,0.3
9.268381534793564,3.702674407866136,0.3,0.3
9.268362208665152,3.7076743705160724,0.3,0.3
9.268340458955821,3.7126743232108628,0.3,0.3
9.268340458955821,3.7126743232108628,0.3,0.3
9.26831870924649,3.717674275905653,0.3,0.3
9.26831870924649,3.717674275905653,0.3,0.3
9.268294535961351,3.7226742174705403,0.3,0.3
9.268270362676212,3.7276741590354274,0.3,0.3
9.268270362676212,3.7276741590354274,0.3,0.3
9.268243765820943,3.732674088295656,0.3,0.3
9.268243765820943,3.732674088295656,0.3,0.3
9.268217168965673,3.7376740175558845,0.3,0.3
9.268217168965673,3.7376740175558845,0.3,0.3
9.268188148546525,3.7426739333367025,0.3,0.3
9.268188148546525,3.7426739333367025,0.3,0.3
9.268159128127376,3.7476738491175206,0.3,0.3
9.268127684151166,3.752673750244179,0.3,0.3
9.268127684151166,3.752673750244179,0.3,0.3
9.268096240174955,3.7576736513708373,0.3,0.3
9.268096240174955,3.7576736513708373,0.3,0.3
9.268062372649071,3.762673536668591,0.3,0.3
9.268062372649071,3.762673536668591,0.3,0.3
9.268028505123187,3.7676734219663444,0.3,0.3
9.268028505123187,3.7676734219663444,0.3,0.3
9.267992214055585,3.772673290260451,0.3,0.3
9.267955922987984,3.7776731585545575,0.3,0.3
9.267955922987984,3.7776731585545575,0.3,0.3
9.267917208387193,3.7826730086702796,0.3,0.3
9.267917208387193,3.7826730086702796,0.3,0.3
9.267878493786402,3.7876728587860016,0.3,0.3
9.267878493786402,3.7876728587860016,0.3,0.3
9.2678422027188,3.792672727080108,0.3,0.3
9.267805911651198,3.7976725953742148,0.3,0.3
9.267805911651198,3.7976725953742148,0.3,0.3
9.267767197050407,3.8026724454899368,0.3,0.3
9.267767197050407,3.8026724454899368,0.3,0.3
9.267728482449616,3.807672295605659,0.3,0.3
9.267728482449616,3.807672295605659,0.3,0.3
9.267687344324731,3.8126721263682626,0.3,0.3
9.267687344324731,3.8126721263682626,0.3,0.3
9.267646206199846,3.8176719571308664,0.3,0.3
9.267602644560531,3.822671767365623,0.3,0.3
9.267602644560531,3.822671767365623,0.3,0.3
9.267559082921217,3.82767157760038,0.3,0.3
9.267559082921217,3.82767157760038,0.3,0.3
9.26751309777771,3.832671366132566,0.3,0.3
9.26751309777771,3.832671366132566,0.3,0.3
9.267467112634204,3.837671154664752,0.3,0.3
9.267418703997308,3.8426709203196476,0.3,0.3
9.267418703997308,3.8426709203196476,0.3,0.3
9.267370295360411,3.8476706859745433,0.3,0.3
9.267370295360411,3.8476706859745433,0.3,0.3
9.2673194632415,3.852670427577435,0.3,0.3
9.2673194632415,3.852670427577435,0.3,0.3
9.26726863112259,3.857670169180327,0.3,0.3
9.26726863112259,3.857670169180327,0.3,0.3
9.267215375533608,3.8626698855565067,0.3,0.3
9.267162119944626,3.8676696019326866,0.3,0.3
9.267162119944626,3.8676696019326866,0.3,0.3
9.267106440898083,3.8726692919074526,0.3,0.3
9.267106440898083,3.8726692919074526,0.3,0.3
9.26705076185154,3.8776689818822185,0.3,0.3
9.26705076185154,3.8776689818822185,0.3,0.3
9.26699265936052,3.8826686442808747,0.3,0.3
9.26699265936052,3.8826686442808747,0.3,0.3
9.2669345568695,3.887668306679531,0.3,0.3
9.266876454378481,3.892667969078187,0.3,0.3
9.266876454378481,3.892667969078187,0.3,0.3
9.266820775331938,3.897667659052953,0.3,0.3
9.266820775331938,3.897667659052953,0.3,0.3
9.266765096285395,3.902667349027719,0.3,0.3
9.266706993794376,3.907667011426375,0.3,0.3
9.266706993794376,3.907667011426375,0.3,0.3
9.266648891303356,3.912666673825031,0.3,0.3
9.266648891303356,3.912666673825031,0.3,0.3
9.26658836538151,3.917666307472888,0.3,0.3
9.26658836538151,3.917666307472888,0.3,0.3
9.266527839459664,3.922665941120745,0.3,0.3
9.266464890121213,3.9276655448431206,0.3,0.3
9.266401940782762,3.932665148565496,0.3,0.3
